
Dead (1);0;0;0;124;114;124;114;0.5;0.5
Dead (2);0;124;0;124;114;124;114;0.5;0.5
Dead (3);0;248;0;124;114;124;114;0.5;0.5
Dead (4);0;372;0;124;114;124;114;0.5;0.5
Dead (5);0;0;114;124;114;124;114;0.5;0.5
Dead (6);0;124;114;124;114;124;114;0.5;0.5
Dead (7);0;248;114;124;114;124;114;0.5;0.5
Dead (8);0;372;114;124;114;124;114;0.5;0.5
Dead (9);0;0;228;124;114;124;114;0.5;0.5
Dead (10);0;124;228;124;114;124;114;0.5;0.5
Idle (1);0;248;228;125;122;125;122;0.5;0.5
Idle (2);0;373;228;125;122;125;122;0.5;0.5
Idle (3);0;0;350;125;122;125;122;0.5;0.5
Idle (4);0;125;350;125;122;125;122;0.5;0.5
Idle (5);0;250;350;125;122;125;122;0.5;0.5
Idle (6);0;375;350;125;122;125;122;0.5;0.5
Idle (7);0;0;472;125;122;125;122;0.5;0.5
Idle (8);0;125;472;125;122;125;122;0.5;0.5
Idle (9);0;250;472;125;122;125;122;0.5;0.5
Idle (10);0;375;472;125;122;125;122;0.5;0.5
Jump (1);0;0;594;125;122;125;122;0.5;0.5
Jump (2);0;125;594;125;122;125;122;0.5;0.5
Jump (3);0;250;594;125;122;125;122;0.5;0.5
Jump (4);0;375;594;125;122;125;122;0.5;0.5
Jump (5);0;0;716;125;122;125;122;0.5;0.5
Jump (6);0;125;716;125;122;125;122;0.5;0.5
Jump (7);0;250;716;125;122;125;122;0.5;0.5
Jump (8);0;375;716;125;122;125;122;0.5;0.5
Jump (9);0;0;838;125;122;125;122;0.5;0.5
Jump (10);0;125;838;125;122;125;122;0.5;0.5
JumpShoot (1);0;250;838;125;122;125;122;0.5;0.5
JumpShoot (2);0;375;838;125;122;125;122;0.5;0.5
JumpShoot (3);0;0;960;125;122;125;122;0.5;0.5
JumpShoot (4);0;125;960;125;122;125;122;0.5;0.5
JumpShoot (5);0;250;960;125;122;125;122;0.5;0.5
Run (1);0;375;960;125;122;125;122;0.5;0.5
Run (2);0;0;1082;125;122;125;122;0.5;0.5
Run (3);0;125;1082;125;122;125;122;0.5;0.5
Run (4);0;250;1082;125;122;125;122;0.5;0.5
Run (5);0;375;1082;125;122;125;122;0.5;0.5
Run (6);0;0;1204;125;122;125;122;0.5;0.5
Run (7);0;125;1204;125;122;125;122;0.5;0.5
Run (8);0;250;1204;125;122;125;122;0.5;0.5
RunShoot (1);0;375;1204;125;122;125;122;0.5;0.5
RunShoot (2);0;0;1326;125;122;125;122;0.5;0.5
RunShoot (3);0;125;1326;125;122;125;122;0.5;0.5
RunShoot (4);0;250;1326;125;122;125;122;0.5;0.5
RunShoot (5);0;375;1326;125;122;125;122;0.5;0.5
RunShoot (6);0;0;1448;125;122;125;122;0.5;0.5
RunShoot (7);0;125;1448;125;122;125;122;0.5;0.5
RunShoot (8);0;250;1448;125;122;125;122;0.5;0.5
RunShoot (9);0;375;1448;125;122;125;122;0.5;0.5
Shoot (1);0;0;1570;125;122;125;122;0.5;0.5
Shoot (2);0;125;1570;125;122;125;122;0.5;0.5
Shoot (3);0;250;1570;125;122;125;122;0.5;0.5
Shoot (4);0;375;1570;125;122;125;122;0.5;0.5
